Store,Total_Sales,Average_Sales,Total_Customers,Average_Customers
1,3716854,3945.704883227176,440523,467.64649681528664
2,3883858,4122.991507430997,457855,486.0456475583864
3,5408261,5741.253715498939,584310,620.2866242038217
4,7556507,8021.7696390658175,1036254,1100.0573248407643
5,3642818,3867.1104033970278,418588,444.36093418259026
6,4297758,4562.375796178344,495483,525.9904458598726
7,6930202,7356.902335456475,745569,791.4745222929936
8,4342857,4610.251592356688,516027,547.7993630573249
9,5112061,5426.816348195329,451677,479.4872611464968
10,4365642,4634.4394904458595,465661,494.33227176220805
11,6296286,6683.955414012738,885992,940.5435244161359
12,5950245,6316.608280254777,703211,746.5084925690021
13,3126578,4124.77308707124,237740,313.6411609498681
14,4291174,4555.386411889596,491913,522.2006369426751
15,5231510,5553.619957537155,520107,552.1305732484077
16,5967891,6335.34076433121,662375,703.1581740976645
17,4954488,5259.541401273886,619090,657.208067940552
18,5130137,5446.005307855627,557785,592.1284501061571
19,5036169,5346.251592356688,486618,516.5796178343949
20,4801543,6334.489445910291,525258,692.9525065963061
21,4259763,4522.041401273886,401213,425.916135881104
22,2801506,3695.9182058047495,312129,411.7796833773087
23,4300299,4565.073248407643,375818,398.9575371549894
24,7313475,7763.773885350319,650800,690.8704883227176
25,8376557,8892.311040339702,1177772,1250.2887473460721
26,5217266,5538.498938428875,434849,461.6231422505308
27,7383809,7838.438428874734,837237,888.7866242038217
28,4080950,4332.218683651805,448196,475.79193205944796
29,5737160,6090.4033970276005,509233,540.5870488322718
30,4114046,4367.352441613588,603828,641.0063694267516
31,4596143,4879.132696390659,459464,487.75371549893845
32,2526117,3332.608179419525,296333,390.94063324538257
33,6572158,6976.813163481953,651485,691.5976645435244
34,6296685,6684.37898089172,778872,826.828025477707
35,7558693,8024.090233545648,568401,603.3980891719746
36,5824183,7683.6187335092345,678178,894.6939313984169
37,5549053,5890.714437367304,609251,646.7632696390658
38,4677617,4965.623142250531,417034,442.71125265392783
39,3780153,4012.9012738853503,490471,520.6698513800425
40,3804215,4038.444798301486,515125,546.8418259023355
41,3318407,4377.845646437995,247531,326.5580474934037
42,7928768,8416.951167728237,856938,909.7006369426751
43,5315050,5642.303609341826,475314,504.5796178343949
44,4295144,4559.6008492569,501806,532.7027600849257
45,4166458,4422.991507430997,323582,343.5053078556263
46,3329125,4391.985488126649,410832,541.9947229551451
47,5601760,5946.666666666667,721790,766.2314225053078
48,3085014,3274.9617834394903,336519,357.2388535031847
49,5675296,6024.7303609341825,413137,438.57430997876855
50,3315479,3519.6167728237792,279505,296.7144373673036
51,4152028,5477.609498680738,309126,407.8179419525066
52,4607742,6078.815303430079,313176,413.1609498680739
53,4127609,4381.750530785563,444300,471.656050955414
54,6207418,6589.615711252654,573426,608.7324840764331
55,3587212,3808.08067940552,435992,462.8365180467091
56,5718290,6070.371549893843,395919,420.29617834394907
57,8155633,8657.784501061571,761161,808.0265392781316
58,3947427,5207.687335092348,319691,421.7559366754617
59,4302026,4566.906581740976,441060,468.21656050955414
60,6265808,6651.6008492569,556509,590.7738853503184
61,3668998,3894.9023354564756,444241,471.59341825902334
62,5066512,5378.462845010616,559309,593.7462845010616
63,5453808,5789.605095541401,500860,531.6985138004246
64,8070070,8566.953290870488,617633,655.6613588110404
65,3988058,4233.607218683652,355602,377.4968152866242
66,4750858,5043.373673036093,407192,432.2632696390658
67,6083079,6457.62101910828,620297,658.4893842887474
68,5929590,6294.6815286624205,903132,958.7388535031847
69,7362059,7815.349256900212,924441,981.359872611465
70,5167478,5485.6454352441615,531054,563.7515923566879
71,7058595,7493.200636942675,581851,617.676220806794
72,2753676,3632.8179419525068,295838,390.287598944591
73,3588351,3809.2898089171977,387402,411.2547770700637
74,4855145,5154.081740976645,662877,703.6910828025477
75,4722388,5013.150743099788,503438,534.4352441613588
76,5606718,7396.7255936675465,578204,762.802110817942
77,5952383,6318.877919320595,517673,549.5467091295117
78,2899629,3078.1624203821657,385990,409.755838641189
79,4253485,4515.376857749469,435499,462.31316348195327
80,5933077,6298.383227176221,450064,477.77494692144376
81,4345098,5732.31926121372,349252,460.754617414248
82,7026310,7458.927813163482,653238,693.4585987261147
83,3028523,3214.992569002123,269409,285.9968152866242
84,10092722,10714.142250530786,1084610,1151.3906581740976
85,6850652,7272.454352441614,956508,1015.4012738853503
86,3652727,3877.629511677282,470659,499.6380042462845
87,4598287,4881.408704883227,578159,613.7569002123142
88,4699058,4988.384288747346,478523,507.98619957537153
89,3714173,4899.96437994723,388237,512.1860158311346
90,6548246,6951.428874734607,822393,873.0286624203821
91,4324904,4591.193205944798,477638,507.04670912951167
92,4671417,4959.041401273886,426158,452.39702760084924
93,4646872,4932.985138004246,470169,499.11783439490443
94,5547371,5888.928874734607,498672,529.375796178344
95,5958064,6324.908704883227,658101,698.6210191082803
96,4037973,4286.595541401274,423364,449.43099787685776
97,5228649,5550.58280254777,537288,570.3694267515923
98,3980584,4225.673036093418,351785,373.4447983014862
99,3191184,4210.005277044855,289554,381.99736147757255
100,4826434,6367.327176781003,415849,548.61345646438
101,5856384,6216.968152866242,609290,646.8046709129512
102,5444156,5779.35881104034,808768,858.5647558386412
103,2959073,3141.2664543524415,266040,282.4203821656051
104,7939205,8428.030785562632,1028904,1092.2547770700637
105,3348791,3554.97983014862,388347,412.2579617834395
106,6718335,7131.990445859873,639877,679.2749469214438
107,5751886,6106.036093418259,748964,795.0785562632697
108,6863994,9055.401055408971,527942,696.4934036939314
109,5068030,5380.074309978769,582023,617.8588110403397
110,3554993,3773.8779193205946,460552,488.9087048832272
111,5288733,5614.366242038216,466784,495.5244161358811
112,4883888,5184.594479830149,608379,645.8375796178344
113,4477826,5907.4221635883905,434973,573.8430079155672
114,4191703,4449.790870488323,476770,506.12526539278133
115,4585191,6049.064643799472,343372,452.99736147757255
116,5711629,6063.30042462845,593708,630.2632696390658
117,3024044,3210.2377919320593,383319,406.9203821656051
118,6085216,6459.889596602972,528277,560.8036093418259
119,4707987,4997.863057324841,521332,553.4309978768578
120,5552990,5894.8938428874735,498431,529.119957537155
121,3473474,3687.339702760085,393208,417.41825902335455
122,5718883,6071.001061571125,702496,745.7494692144373
123,6450589,6847.759023354564,737109,782.4936305732484
124,3446410,3658.6093418259024,409507,434.7208067940552
125,9280089,9851.474522292994,1233970,1309.9469214437368
126,5069540,5381.677282377919,423630,449.71337579617835
127,3263370,4305.23746701847,411023,542.2467018469657
128,5822099,6180.572186836518,464447,493.0435244161359
129,5727451,7556.003957783641,724918,956.3562005277045
130,3999550,4245.806794055202,448095,475.68471337579615
131,4109540,4362.569002123142,435381,462.187898089172
132,3908185,5155.916886543536,362256,477.910290237467
133,5057788,5369.201698513801,593403,629.9394904458599
134,3705099,3933.2261146496817,387764,411.63906581740974
135,4648837,4935.071125265393,421569,447.52547770700636
136,3414045,4504.017150395778,263716,347.910290237467
137,5147039,6790.288918205805,595429,785.5263852242743
138,5721236,6073.498938428875,557266,591.5774946921443
139,4020701,5304.35488126649,319593,421.62664907651714
